rt56_state_id,rt56_file,aoe_state_id,aoe_file,match_method,owner
1053,1053-Saarland.txt,,,owner_transition,GER
1054,1054-Styria.txt,,,owner_transition,AUS
1055,1055-Zanzibar.txt,,,owner_transition,ENG
1056,1056-Amapa.txt,939,939 - Amapa.txt,exact_label,BRA
1057,1057-Tocantins.txt,941,941 - Tocantins.txt,exact_label,BRA
1058,1058-Rondonia.txt,942,942 - Rondonia.txt,exact_label,BRA
1059,1059-Cerro Largo.txt,945,945 - Cerro Largo.txt,exact_label,SPR
106,106-Macedonia.txt,106,106-Macedonia.txt,exact_label,YUG
1060,1060-Paysandu.txt,946,946 - Paysandu.txt,exact_label,SPR
1061,1061-Tacna.txt,947,947 - Tacna.txt,exact_label,PRU
1062,1062-Aysen.txt,949,949 - Aysen.txt,exact_label,SPR
1063,1063-Araucania.txt,950,950 - Araucania.txt,exact_label,SPR
1064,1064-Arica.txt,951,951 - Arica.txt,exact_label,SPR
1065,1065-Tierra del Fuego.txt,953,953 - Tierra del Fuego.txt,exact_label,ARG
1066,1066-Santa Cruz.txt,954,954 - Santa Cruz.txt,exact_label,ARG
1067,1067-Chubut.txt,955,955 - Chubut.txt,exact_label,ARG
1068,1068-Santa Fe.txt,956,956 - Santa Fe.txt,exact_label,ARG
1069,1069-Formosa.txt,957,957 - Formosa.txt,exact_label,ARG
107,107-Kosavo.txt,107,107-Kosavo.txt,exact_label,YUG
1070,1070-San Luis.txt,958,958 - San Luis.txt,exact_label,ARG
1071,1071-Los Andes.txt,959,959 - Los Andes.txt,exact_label,ARG
1072,1072-Deep Amazonas.txt,,,owner_transition,BRA
1073,1073-Amazonas del Norte.txt,,,owner_transition,SPR
1074,1074-Easter Island.txt,948,948 - Easter Island.txt,exact_label,SPR
1075,1075-Gyarong.txt,,,owner_transition,CHI
1076,1076-Channel Islands.txt,,,owner_transition,ENG
1077,1077-Chaco Boreal.txt,688,688-Chaco Boreal.txt,exact_label,SPR
1078,1078-South Sudetenland.txt,972,972 - South Sudetenland.txt,exact_label,AUS
1079,1079-Sint Maarten.txt,,,owner_transition,HOL
108,108-Eastern Serbia.txt,108,108-Eastern Serbia.txt,exact_label,YUG
1080,1080-Martinique.txt,,,owner_transition,FRA
1081,1081-St Kitts & Nevis.txt,,,owner_transition,ENG
1082,1082-Dominica.txt,,,owner_transition,ENG
1083,1083-St Lucia.txt,,,owner_transition,ENG
1084,1084-St Vincent & the Grenadines.txt,,,owner_transition,ENG
1085,1085-Grenada.txt,,,owner_transition,ENG
1086,1086-Burgenland.txt,975,975 - Burgenland.txt,exact_label,AUS
1087,1087-Chatham Island.txt,,,owner_transition,ENG
1088,1088-American Samoa.txt,1072,1072 - American Samoa.txt,exact_label,USA
1089,1089-Niue.txt,,,owner_transition,ENG
109,109-Eastern Croatia.txt,109,109-Eastern Croatia.txt,exact_label,YUG
1090,1090-Uttarakhand.txt,,,owner_transition,RAJ
1091,1091-Gandaki.txt,,,owner_transition,RAJ
1092,1092-North Bihar.txt,,,owner_transition,RAJ
1093,1093-West Sindh.txt,,,owner_transition,RAJ
1094,1094-Antwerp.txt,977,977 - Antwerp.txt,exact_label,BEL
1095,1095-Ardennes.txt,980,980 - Ardennes.txt,exact_label,BEL
1096,1096-Kaiser Wilhelms Land.txt,979,979 - Kaiser Wilhelms Land.txt,exact_label,ENG
1097,1097-Barotseland.txt,981,981 - Barotseland.txt,exact_label,ENG
1098,1098-Madras States.txt,982,982 - Madras States.txt,exact_label,RAJ
1099,1099-Deccan States.txt,983,983 - Deccan States.txt,exact_label,RAJ
11,11-Kaunas.txt,11,11-Kaunas.txt,stable_legacy_id,EST
110,110-Norway.txt,110,110-Norway.txt,exact_label,NOR
1100,1100-Bastar.txt,984,984 - Bastar.txt,exact_label,RAJ
1101,1101-East Punjab.txt,986,986 - East Punjab.txt,exact_label,RAJ
1102,1102-Inner Oman.txt,,,owner_transition,TUR
1103,1103-Dhofar.txt,1016,1016 - Dhofar.txt,exact_label,TUR
1104,1104-South Transdanubia.txt,974,974 - South Transdanubia.txt,exact_label,AUS
1105,1105-South Kyushu.txt,1018,1018 - South Kyushu.txt,exact_label,JAP
1106,1106-South Tohoku.txt,1019,1019 - South Tohoku.txt,exact_label,JAP
1107,1107-Sanin.txt,1020,1020 - Sanin.txt,exact_label,JAP
1108,1108-Zamboanga.txt,1025,1025 - Zamboanga.txt,exact_label,JAP
1109,1109-North Mindanao.txt,1026,1026 - North Mindanao.txt,exact_label,JAP
111,111-Uusima.txt,111,111-Uusima.txt,exact_label,FIN
1110,1110-Bataan.txt,1027,1027 - Bataan.txt,exact_label,JAP
1111,1111-Yanan.txt,1032,1032 - Yanan.txt,exact_label,CHI
1112,1112-Fangchenggang.txt,1033,1033 - Fangchenggang.txt,exact_label,CHI
1113,1113-Suzhou.txt,1034,1034 - Suzhou.txt,exact_label,CHI
1114,1114-Nanjing.txt,1035,1035 - Nanjing.txt,exact_label,CHI
1115,1115-Wuhan.txt,1036,1036 - Wuhan.txt,exact_label,CHI
1116,1116-Chongqing.txt,1037,1037 - Chongqing.txt,exact_label,CHI
1117,1117-Jinan.txt,1038,1038 - Jinan.txt,exact_label,CHI
1118,1118-Hebei-Chahar.txt,1039,1039 - Hebei-Chahar.txt,exact_label,CHI
1119,1119-Alxa.txt,1040,1040 - Alxa.txt,exact_label,CHI
112,112-Lisbon.txt,112,112-Lisbon.txt,exact_label,POR
1120,1120-Chengdu.txt,1041,1041 - Chengdu.txt,exact_label,CHI
1121,1121-Khotan.txt,1042,1042 - Khotan.txt,exact_label,CHI
1122,1122-Pailingmiao.txt,1043,1043 - Pailingmiao.txt,exact_label,CHI
1123,1123-Wuwei.txt,1044,1044 - Wuwei.txt,exact_label,CHI
1124,1124-Guyuan.txt,1045,1045 - Guyuan.txt,exact_label,CHI
1125,1125-Yulin.txt,1046,1046 - Yulin.txt,exact_label,CHI
1126,1126-Batavia.txt,1058,1058-Batavia.txt,exact_label,JAP
1127,1127-Bali.txt,1052,1052-Bali.txt,exact_label,JAP
1128,1128-Ajteh.txt,1050,1050-Ajteh.txt,exact_label,JAP
1129,1129 - Perak.txt,1064,1064 - Perak.txt,exact_label,JAP
113,113-Ireland.txt,113,113-Ireland.txt,exact_label,IRE
1130,1130 - Pahang.txt,1063,1063 - Pahang.txt,exact_label,JAP
1131,1131 - Limbang.txt,1059,1059 - Limbang.txt,exact_label,JAP
1132,1132 - Central Siam.txt,1077,1077 - Central Siam.txt,exact_label,SIA
1133,1133 - Eastern Siam.txt,1078,1078 - Eastern Siam.txt,exact_label,SIA
1134,1134 - Bangkok.txt,1076,1076 - Bangkok.txt,exact_label,SIA
1135,1135-Padang.txt,1048,1048-Padang.txt,exact_label,JAP
1136,1136-Auckland.txt,1079,1079-Auckland.txt,exact_label,ENG
1137,1137-Dutch Southern New Guinea.txt,1057,1057-Dutch Southern New Guinea.txt,exact_label,JAP
1138,1138 - Bougainville.txt,1070,1070 - Bougainville.txt,exact_label,ENG
1139,1139 - Marlborough.txt,1080,1080 - Marlborough.txt,exact_label,ENG
114,114-Sardinia.txt,114,114-Sardinia.txt,exact_label,ITA
1140,1140 - Otago.txt,1081,1081 - Otago.txt,exact_label,ENG
1141,1141 - Vanuatu.txt,1071,1071 - Vanuatu.txt,exact_label,FRA
1142,1142-Dutch Timor.txt,1054,1054-Dutch Timor.txt,exact_label,JAP
1143,1143 - Vorstenlanden.txt,,,owner_transition,JAP
115,115-Sicily.txt,115,115-Sicily.txt,exact_label,ITA
116,116-Malta.txt,116,116-Malta.txt,exact_label,ENG
117,117-Napoli.txt,117,117-Napoli.txt,exact_label,ITA
118,118-Gibralter.txt,118,118-Gibralter.txt,exact_label,ENG
119,119-Northern Ireland.txt,119,119-Northern Ireland.txt,exact_label,ENG
12,12-Latvia.txt,12,12-Latvia.txt,exact_label,EST
120,120-Scottish Highlands.txt,120,120-Scottish Highlands.txt,exact_label,ENG
121,121-Scottish Lowlands.txt,121,121-Scottish Lowlands.txt,exact_label,ENG
122,122-Wales.txt,122,122-Wales.txt,exact_label,ENG
123,123-Cornwall.txt,123,123-Cornwall.txt,exact_label,ENG
124,124-Gotland.txt,124,124-Gotland.txt,exact_label,SWE
125,125-East Anglia.txt,125,125-East Anglia.txt,exact_label,ENG
126,126-Greater London Area.txt,126,126-Greater London Area.txt,exact_label,ENG
127,127-South-east England.txt,127,127-South-east England.txt,exact_label,ENG
128,128-West Midlands.txt,128,128-West Midlands.txt,exact_label,ENG
129,129-East Midlands.txt,129,129-East Midlands.txt,exact_label,ENG
13,13-Estonia.txt,13,13-Estonia.txt,exact_label,EST
130,130-Yorkshire.txt,130,130-Yorkshire.txt,exact_label,ENG
131,131-Northern England.txt,131,131-Northern England.txt,exact_label,ENG
132,132-North-west England.txt,132,132-North-west England.txt,exact_label,ENG
133,133-Strathclyde.txt,133,133-Strathclyde.txt,exact_label,ENG
134,134-Connaught.txt,134,134-Connaught.txt,exact_label,IRE
135,135-Munster.txt,135,135-Munster.txt,exact_label,IRE
136,136-Aberdeenshire.txt,136,136-Aberdeenshire.txt,exact_label,ENG
137,137-Crimea.txt,137,137-Crimea.txt,exact_label,UKR
138,138-Skane.txt,138,138-Skane.txt,exact_label,SWE
139,139-Smaland.txt,139,139-Smaland.txt,exact_label,SWE
14,14-Brittany.txt,14,14-Brittany.txt,exact_label,FRA
140,140-Vaster Gotland.txt,140,140-Vaster Gotland.txt,exact_label,SWE
141,141-Sodermanland.txt,141,141-Sodermanland.txt,exact_label,SWE
142,142-Vestlandet.txt,142,142-Vestlandet.txt,exact_label,NOR
143,143-Midt-Noreg.txt,143,143-Midt-Noreg.txt,exact_label,NOR
144,144-Nord-Noreg.txt,144,144-Nord-Noreg.txt,exact_label,NOR
145,145-Aland.txt,145,145-Aland.txt,exact_label,FIN
146,146-Karelia.txt,146,146-Karelia.txt,exact_label,FIN
147,147-Salla.txt,147,147-Salla.txt,exact_label,FIN
148,148-Lappi.txt,148,148-Lappi.txt,exact_label,FIN
149,149-Vaasa.txt,149,149-Vaasa.txt,exact_label,FIN
15,15-Normandy.txt,15,15-Normandy.txt,exact_label,FRA
150,150-Kuopio.txt,150,150-Kuopio.txt,exact_label,FIN
151,151-Eastern Swiss Alps.txt,151,151-Eastern Swiss Alps.txt,exact_label,SWI
152,152-Upper Austria.txt,152,152-Upper Austria.txt,exact_label,AUS
153,153-Tyrol.txt,153,153-Tyrol.txt,exact_label,AUS
154,154-Southern plain.txt,154,154-Southern plain.txt,exact_label,AUS
155,155-Western Hungary.txt,155,155-Western Hungary.txt,exact_label,AUS
156,156-Calabria.txt,156,156-Calabria.txt,exact_label,ITA
157,157-Abruzzo.txt,157,157-Abruzzo.txt,exact_label,ITA
158,158-Piedmont.txt,158,158-Piedmont.txt,exact_label,ITA
159,159-Lombardy.txt,159,159-Lombardy.txt,exact_label,ITA
16,16-Ile de France.txt,16,16-Ile de France.txt,exact_label,FRA
160,160-Veneto.txt,160,160-Veneto.txt,exact_label,ITA
161,161-Emilia Romagna.txt,161,161-Emilia Romagna.txt,exact_label,ITA
162,162-Tuscany.txt,162,162-Tuscany.txt,exact_label,ITA
163,163-Dalmatia.txt,163,163-Dalmatia.txt,exact_label,ITA
164,164-Dodecanese.txt,164,164-Dodecanese.txt,exact_label,ITA
165,165-Catalonia.txt,165,165-Catalonia.txt,exact_label,SPR
166,166-Western Aragon.txt,166,166-Western Aragon.txt,exact_label,SPR
167,167-Valencia.txt,167,167-Valencia.txt,exact_label,SPR
168,168-Murcia.txt,168,168-Murcia.txt,exact_label,SPR
169,169-Sevilla.txt,169,169-Sevilla.txt,exact_label,SPR
17,17-Alcase Lorraine.txt,17,17-Alcase Lorraine.txt,exact_label,FRA
170,170-Extremadura.txt,170,170-Extremadura.txt,exact_label,SPR
171,171-Galicia.txt,171,171-Galicia.txt,exact_label,SPR
172,172-Navarre.txt,172,172-Navarre.txt,exact_label,SPR
173,173-Granada.txt,173,173-Granada.txt,exact_label,SPR
174,174-Leon.txt,174,174-Leon.txt,exact_label,SPR
175,175-Ciudad Real.txt,175,175-Ciudad Real.txt,exact_label,SPR
176,176-Burgos.txt,176,176-Burgos.txt,exact_label,SPR
177,177-Balearic Islands.txt,177,177-Balearic Islands.txt,exact_label,SPR
178,178-Canary islands.txt,178,178-Canary islands.txt,exact_label,SPR
179,179-Beja.txt,179,179-Beja.txt,exact_label,POR
18,18-Champagne.txt,18,18-Champagne.txt,exact_label,FRA
180,180-Porto.txt,180,180-Porto.txt,exact_label,POR
181,181-Guarda.txt,181,181-Guarda.txt,exact_label,POR
182,182-Crete.txt,182,182-Crete.txt,exact_label,GRE
183,183-Cyprus.txt,183,183-Cyprus.txt,exact_label,ENG
184,184-Thrace.txt,184,184-Thrace.txt,exact_label,GRE
185,185-Epirus.txt,185,185-Epirus.txt,exact_label,GRE
186,186-Peloponnese.txt,186,186-Peloponnese.txt,exact_label,GRE
187,187-Aegean Islands.txt,187,187-Aegean Islands.txt,exact_label,GRE
188,188-Memel.txt,188,188-Memel.txt,exact_label,EST
189,189-Kaunas.txt,189,189-Kaunas.txt,stable_legacy_id,EST
19,19-Aquitaine.txt,19,19-Aquitaine.txt,exact_label,FRA
190,190-Kurzeme.txt,190,190-Kurzeme.txt,exact_label,EST
191,191-Tartu.txt,191,191-Tartu.txt,exact_label,EST
192,192-Odessa.txt,192,192-Odessa.txt,exact_label,UKR
193,193-Kiev.txt,193,193-Kiev.txt,exact_label,UKR
194,194-Pinsk Marches.txt,194,194-Pinsk Marches.txt,exact_label,SOV
195,195-Leningrad Area.txt,195,195-Leningrad Area.txt,exact_label,SOV
196,196-Kherson.txt,196,196-Kherson.txt,exact_label,UKR
197,197-Mykolaiv.txt,197,197-Mykolaiv.txt,exact_label,UKR
198,198-Vinnytsia.txt,198,198-Vinnytsia.txt,exact_label,UKR
199,199-Khmelnytskyi.txt,199,199-Khmelnytskyi.txt,exact_label,UKR
2,2-Italy.txt,2,2-Italy.txt,exact_label,ITA
20,20-Franche-comte.txt,20,20-Franche-comte.txt,exact_label,FRA
200,200-Rivne.txt,200,200-Rivne.txt,exact_label,UKR
201,201-Zhytomyr.txt,201,201-Zhytomyr.txt,exact_label,UKR
202,202-Western Kiev.txt,202,202-Western Kiev.txt,exact_label,UKR
203,203-Cherkasy.txt,203,203-Cherkasy.txt,exact_label,UKR
204,204-Brest.txt,204,204-Brest.txt,exact_label,SOV
205,205-Hrodna.txt,205,205-Hrodna.txt,exact_label,SOV
206,206-Minsk.txt,206,206-Minsk.txt,exact_label,SOV
207,207-Viciebsk.txt,207,207-Viciebsk.txt,exact_label,SOV
208,208-Pskov.txt,208,208-Pskov.txt,exact_label,SOV
209,209-Smolensk.txt,209,209-Smolensk.txt,stable_legacy_id,SOV
21,21-Bouches-du-Rhone.txt,21,21-Bouches-du-Rhone.txt,exact_label,FRA
210,210-Bryansk.txt,210,210-Bryansk.txt,stable_legacy_id,SOV
211,211-Burgas.txt,211,211-Burgas.txt,exact_label,BUL
212,212-Plovdiv.txt,212,212-Plovdiv.txt,exact_label,BUL
213,213-Murmansk.txt,213,213-Murmansk.txt,exact_label,SOV
214,214-Arkhangelsk.txt,214,214-Arkhangelsk.txt,exact_label,SOV
215,215-Eastern Karelia.txt,215,215-Eastern Karelia.txt,exact_label,SOV
216,216-Below Zero.txt,216,216-Below Zero.txt,exact_label,SOV
217,217-Stalingrad Area.txt,217,217-Stalingrad Area.txt,exact_label,SOV
218,218-Rostov Area.txt,218,218-Rostov Area.txt,exact_label,UKR
219,219-Moscow Area.txt,219,219-Moscow Area.txt,exact_label,SOV
22,22-Roussillion.txt,22,22-Roussillion.txt,exact_label,FRA
220,220-Kursk Area.txt,220,220-Kursk Area.txt,exact_label,SOV
221,221-Kharkov.txt,221,221-Kharkov.txt,exact_label,UKR
222,222-Orel.txt,222,222-Orel.txt,exact_label,SOV
223,223-tula.txt,223,223-tula.txt,exact_label,SOV
224,224-Bryansk.txt,224,224-Bryansk.txt,stable_legacy_id,SOV
225,225-Glukhov.txt,225,225-Glukhov.txt,exact_label,UKR
226,226-Nikopol.txt,226,226-Nikopol.txt,exact_label,UKR
227,227-Stalino.txt,227,227-Stalino.txt,exact_label,UKR
228,228-Taganrog.txt,228,228-Taganrog.txt,exact_label,UKR
229,229-baku.txt,229,229-baku.txt,exact_label,GEO
23,23-Poitou.txt,23,23-Poitou.txt,exact_label,FRA
230,230-Armenia.txt,230,230-Armenia.txt,exact_label,GEO
231,231-Georgia.txt,231,231-Georgia.txt,stable_legacy_id,GEO
232,232-Grozny.txt,232,232-Grozny.txt,exact_label,SOV
233,233-Caucasus Mountains.txt,233,233-Caucasus Mountains.txt,exact_label,SOV
234,234-Krasodar.txt,234,234-Krasodar.txt,exact_label,SOV
235,235-Stravropol.txt,235,235-Stravropol.txt,exact_label,SOV
236,236-Astrakhan.txt,236,236-Astrakhan.txt,exact_label,SOV
237,237-Elista.txt,237,237-Elista.txt,exact_label,SOV
238,238-volgodonsk.txt,238,238-volgodonsk.txt,exact_label,SOV
239,239-Saratov.txt,239,239-Saratov.txt,exact_label,SOV
24,24-Centre.txt,24,24-Centre.txt,exact_label,FRA
240,240-Voronezh.txt,240,240-Voronezh.txt,exact_label,SOV
241,241-Pochep.txt,241,241-Pochep.txt,exact_label,SOV
242,242-Smolensk.txt,242,242-Smolensk.txt,stable_legacy_id,SOV
243,243-Roslavl.txt,243,243-Roslavl.txt,exact_label,SOV
244,244-Gatchina.txt,244,244-Gatchina.txt,exact_label,SOV
245,245-Donetsk.txt,245,245-Donetsk.txt,exact_label,SOV
246,246-Rzhev.txt,246,246-Rzhev.txt,exact_label,SOV
247,247-Tver.txt,247,247-Tver.txt,exact_label,SOV
248,248-Yaroslavl.txt,248,248-Yaroslavl.txt,exact_label,SOV
249,249-Kazan.txt,249,249-Kazan.txt,exact_label,SOV
25,25-Limousin.txt,25,25-Limousin.txt,exact_label,FRA
250,250-ulyanovsky.txt,250,250-ulyanovsky.txt,exact_label,SOV
251,251-Samara.txt,251,251-Samara.txt,exact_label,SOV
252,252-Nizhny Novogrod.txt,252,252-Nizhny Novogrod.txt,exact_label,SOV
253,253-Ivanovo.txt,253,253-Ivanovo.txt,exact_label,SOV
254,254-Ryazan.txt,254,254-Ryazan.txt,exact_label,SOV
255,255-Penza.txt,255,255-Penza.txt,exact_label,SOV
256,256-Cheboksary.txt,256,256-Cheboksary.txt,exact_label,SOV
257,257-Livny.txt,257,257-Livny.txt,exact_label,SOV
258,258-lipetsk.txt,258,258-lipetsk.txt,exact_label,SOV
259,259-Liski.txt,259,259-Liski.txt,exact_label,UKR
26,26-Bourgogne.txt,26,26-Bourgogne.txt,exact_label,FRA
260,260-Borisoglbsk.txt,260,260-Borisoglbsk.txt,exact_label,SOV
261,261-USA.txt,261,261-USA.txt,exact_label,USA
262,262-Torzhok.txt,262,262-Torzhok.txt,exact_label,SOV
263,263-Veliky Novogrod.txt,263,263-Veliky Novogrod.txt,exact_label,SOV
264,264-Tikhvin.txt,264,264-Tikhvin.txt,exact_label,SOV
265,265-Mikhaylovka.txt,265,265-Mikhaylovka.txt,exact_label,SOV
266,266-Persia.txt,266,266-Persia.txt,exact_label,PER
267,267-Afghanistan.txt,267,267-Afghanistan.txt,exact_label,PER
268,268-French Somaliland.txt,268,268-French Somaliland.txt,exact_label,FRA
269,269-British Somaliland.txt,269,269-British Somaliland.txt,exact_label,ENG
27,27-Champagne2.txt,27,27-Champagne2.txt,exact_label,FRA
270,270-Pitcarin Island.txt,270,270-Pitcarin Island.txt,exact_label,ENG
271,271-ethiopia.txt,271,271-ethiopia.txt,exact_label,ETH
272,272-French Africa.txt,272,272-French Africa.txt,exact_label,MLI
273,273-Italian Africa.txt,273,273-Italian Africa.txt,exact_label,ITA
274,274-British Africa.txt,274,274-British Africa.txt,exact_label,ENG
275,275-South Africa.txt,275,275-South Africa.txt,exact_label,ENG
276,276-Canada.txt,276,276-Canada.txt,exact_label,CAN
277,277-Mexico.txt,277,277-Mexico.txt,exact_label,MEX
278,278-Argentina.txt,278,278-Argentina.txt,exact_label,ARG
279,279-Chile.txt,279,279-Chile.txt,exact_label,SPR
28,28-Alcase.txt,28,28-Alcase.txt,exact_label,FRA
280,280-Brazil.txt,280,280-Brazil.txt,exact_label,BRA
281,281-India.txt,281,281-India.txt,exact_label,ENG
282,282-Japan.txt,282,282-Japan.txt,exact_label,JAP
283,283-China.txt,283,283-China.txt,exact_label,CHI
284,284-New Zealand.txt,284,284-New Zealand.txt,exact_label,ENG
285,285-Austraila.txt,285,285-Austraila.txt,exact_label,ENG
286,286-Indochina.txt,286,286-Indochina.txt,exact_label,VIN
287,287-Sinkiang.txt,287,287-Sinkiang.txt,exact_label,CHI
288,288-Burma.txt,288,288-Magwe.txt,stable_legacy_id,RAJ
289,289-Western Siam.txt,289,289-Western Siam.txt,exact_label,SIA
29,29-Pas de Calais.txt,29,29-Pas de Calais.txt,exact_label,FRA
290,290-Spanish Africa.txt,290,290-Spanish Africa.txt,exact_label,SPR
291,291-Iraq.txt,291,291-Iraq.txt,exact_label,TUR
292,292-Saudi Arabia.txt,292,292-Saudi Arabia.txt,exact_label,SAU
293,293-Yemen.txt,293,293-Yemen.txt,exact_label,YEM
294,294-Oman.txt,294,294-Oman.txt,exact_label,TUR
295,295-Congo.txt,295,295-Congo.txt,exact_label,BEL
296,296-Portugal Africa.txt,296,296-Portugal Africa.txt,exact_label,POR
297,297-Belgian Africa.txt,297,297-Belgian Africa.txt,exact_label,SPR
298,298-Liberia.txt,298,298-Liberia.txt,exact_label,ITA
299,299-Falkand Islands.txt,299,299-Falkand Islands.txt,exact_label,ENG
3,3-Swiss Plateau.txt,3,3-Swiss Plateau.txt,exact_label,SWI
30,30-Loire.txt,30,30-Loire.txt,exact_label,FRA
300,300-Uruguay.txt,300,300-Uruguay.txt,exact_label,SPR
301,301-paraguay.txt,301,301-paraguay.txt,exact_label,SPR
302,302-bolivia.txt,302,302-bolivia.txt,exact_label,SPR
303,303-Peru.txt,303,303-Peru.txt,exact_label,PRU
304,304-Panama.txt,304,304-Panama.txt,exact_label,SPR
305,305-Ecuador.txt,305,305-Ecuador.txt,exact_label,SPR
306,306-Colombia.txt,306,306-Colombia.txt,exact_label,SPR
307,307-Venezuela.txt,307,307-Venezuela.txt,exact_label,SPR
308,308-Britain SA.txt,308,308-Britain SA.txt,exact_label,ENG
309,309-Dutch SA.txt,309,309-Dutch SA.txt,exact_label,HOL
31,31-Midi Pyrenees.txt,31,31-Midi Pyrenees.txt,exact_label,FRA
310,310-French SA.txt,310,310-French SA.txt,exact_label,FRA
311,311-BritMex.txt,311,311-BritMex.txt,exact_label,ENG
312,312-Honduras.txt,312,312-Honduras.txt,exact_label,SPR
313,313-Guatemala.txt,313,313-Guatemala.txt,exact_label,SPR
314,314-El Salvador.txt,314,314-El Salvador.txt,exact_label,SPR
315,315-Cuba.txt,315,315-Cuba.txt,exact_label,SPR
316,316-Costa Rica.txt,316,316-Costa Rica.txt,exact_label,SPR
317,317-Nicaragua.txt,317,317-Nicaragua.txt,exact_label,SPR
318,318-Haiti.txt,318,318-Haiti.txt,exact_label,SPR
319,319-Dominican Republic.txt,319,319-Dominican Republic.txt,exact_label,SPR
32,32-Rhone Alpes.txt,32,32-Rhone Alpes.txt,exact_label,FRA
320,320-French India.txt,320,320-French India.txt,exact_label,FRA
321,321-Goa.txt,321,321-Goa.txt,exact_label,POR
322,322-Tibet.txt,322,322-Tibet.txt,exact_label,CHI
323,323-Nepal.txt,323,323-Nepal.txt,exact_label,RAJ
324,324-Bhutan.txt,324,324-Bhutan.txt,exact_label,RAJ
325,325-Yunnan.txt,325,325-Yunnan.txt,exact_label,CHI
